04.04.01.03 Struverite
04.04.01.04 Pyrolusite
04.04.01.05 Cassiterite
04.04.01.06 Plattnerite
04.04.01.07 Argutite
04.04.01.08 Squawcreekite
04.04.01.09 Stishovite
04.04.02.01 Varlamoffite
04.04.03.01 Downeyite
04.04.03.02 Paratellurite
04.04.04.01 Anatase
04.04.05.01 Brookite
04.04.06.01 Tellurite
04.04.06.02 Scrutinyite
04.04.07.01 Ramsdellite
04.04.08.01 Nsutite
04.04.09.01 Vernadite
04.04.10.01 Akhtenskite
04.04.11.01 Paramontroseite
04.04.12.01 CerianiteCe
04.04.13.01 Tazheranite
04.04.13.02 Srilankite
04.04.14.01 Baddeleyite
04.04.14.02 IMA2007-058
04.04.15.01 Tugarinovite
04.04.16.01 Cervantite
04.04.16.02 Clinocervantite
04.04.17.01 Lenoblite
04.05.01.01 Molybdite
04.05.02.01 Tungstite
04.05.03.01 Meymacite
04.05.04.01 Alumotungstite
04.05.05.01 Ferritungstite
04.05.05.02 Elsmoreite
04.05.06.01 Sidwillite
04.06.01.01 Shcherbinaite
04.06.02.01 Navajoite
04.06.03.01 Ilsemannite
04.06.04.01 Paramelaconite
04.06.05.01 Murdochite
04.06.06.01 Tantite
04.06.07.01 Nolanite
04.06.07.02 Rinmanite
05.01.01.01 Uraninite
05.01.01.02 Thorianite
05.02.01.01 Metaschoepite
05.02.01.02 Paraschoepite
05.02.01.03 Schoepite
05.02.02.01 Masuyite
05.02.03.01 Spriggite
05.02.04.01 Holfertite
05.03.01.01 Studtite
05.03.01.02 Metastudtite
05.03.02.01 Vandenbrandeite
05.04.01.01 Clarkeite
05.04.02.01 Calciouranoite
05.04.02.02 Bauranoite
05.04.03.01 Metacalciouranoite
05.04.03.02 Wolsendorfite
05.05.01.01 Agrinierite
05.05.02.01 Rameauite
05.05.03.01 Protasite
05.06.01.01 Ianthinite
05.07.01.01 Compreignacite
05.07.01.02 Becquerelite
05.07.01.03 Billietite
05.08.01.01 Vandendriesscheite
05.08.01.02 Metavandendriesscheite
05.09.01.01 Uranosphaerite
05.09.02.01 Fourmarierite
05.09.03.01 Curite
05.09.04.01 Mourite
05.09.05.01 Richetite
05.09.06.01 Sayrite
06.01.01.01 Diaspore
06.01.01.02 Goethite
06.01.01.03 Groutite
06.01.01.04 Montroseite
06.01.01.05 Bracewellite
06.01.01.06 Tsumgallite
06.01.02.01 Boehmite
06.01.02.01 Bohmite
06.01.02.02 Lepidocrocite
06.01.02.03 Guyanaite
06.01.03.01 Manganite
06.01.04.01 Heterogenite-2H
06.01.04.02 Heterogenite-3R
06.01.04.03 Feitknechtite
06.01.04.04 Feroxyhyte
06.01.05.01 Grimaldiite
06.01.06.01 Akaganeite
06.02.01.01 Brucite
06.02.01.02 Amakinite
06.02.01.03 Pyrochroite
06.02.01.04 Portlandite
06.02.01.05 Theophrastite
